273174,284641,314040,339379,284558,206255,212654,205774
1576444,1620716,1682784,1727198,1608372,1714866,1671698,1657952
483746,557665,568828,509068,445395,430189,437122,429186
267483,284641,290339,278775,296930,253399,259910,235170
295938,307878,331816,333318,334046,324115,324888,317480
216263,243978,278488,242413,222697,259292,248096,252808
318703,296259,379219,387862,340232,406617,372144,340997
204880,209124,225161,230293,228883,229827,236282,211653
773994,941061,1013225,1018137,1039255,1048955,1057364,1075905
136587,162652,154057,157568,142279,153218,153583,158740
6112273,6703601,7134052,7199683,6810833,6818208,6804930,6714116
