26.4,24.7,24.1,24.6,24.2,23.8,24.6,25
13,14.3,14.5,14.5,15.6,16.4,15.6,16
8.1,8.5,8.1,7.2,6.7,7,6.4,6.4
5.3,4.5,5.4,5.5,5.1,4.3,5.5,5.1
5,4.7,4.8,4.7,5,4.5,4.8,4.7
4.6,4.3,4.5,4.8,4.3,4.4,3.1,3.1
4.5,4.3,4.2,4,4.5,4.3,3.8,3.5
3.6,3.7,4,3.5,3,3.4,3.6,3.8
3.4,3.2,3.2,3.3,3.3,3.6,3.5,3.1
2.3,2.5,2.2,2.2,2.1,1.9,2.3,2.4
102.4,102,102.2,102.4,101.9,102.3,100.1,100.3
